[2024-12-15 00:49:18] [info] Log initialize done.
[2024-12-15 00:49:18] [info] Engine initialize done.
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 156250, delta time 6.4e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 169491.53, delta time 5.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 166666.66, delta time 6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 169491.53, delta time 5.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 16722.408, delta time 5.98e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 34246.574, delta time 2.92e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 101010.1, delta time 9.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 116279.07, delta time 8.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 120481.92, delta time 8.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 120481.92, delta time 8.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 121951.23, delta time 8.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 120481.92, delta time 8.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 120481.92, delta time 8.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 121951.23, delta time 8.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 120481.92, delta time 8.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 119047.62, delta time 8.4e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 117647.055, delta time 8.5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 123456.79, delta time 8.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 125000, delta time 8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 109890.11, delta time 9.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 81300.81, delta time 1.23e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 142857.14, delta time 7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 185185.17, delta time 5.4e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 188679.25, delta time 5.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 55555.555, delta time 1.8e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 41666.664, delta time 2.4e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 156250, delta time 6.4e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 153846.16, delta time 6.5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 196078.42, delta time 5.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 196078.42, delta time 5.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 192307.69, delta time 5.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 192307.69, delta time 5.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 200000, delta time 5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 192307.69, delta time 5.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 200000, delta time 5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 196078.42, delta time 5.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 196078.42, delta time 5.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 200000, delta time 5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 200000, delta time 5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 192307.69, delta time 5.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 200000, delta time 5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 196078.42, delta time 5.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
